"Not a Smartsupp user yet?", "Ještě nejste uživatelem Smartsupp?"
"Hide", "Skrýt"
"Show", "Zobrazit"
"Settings", "Nastavení"
"Yes", "Ano"
"No", "Ne"
"Enabled", "Povoleno"
"Show chat box on website.", "Zobrazit chat na webu."
"Smartsupp key", "Smartsupp klíč"
"Smartsupp key assigned to your account.","Smartsupp klíč přiřazen k vašemu účtu."
"Optional API", "Volitelné API"
"Advanced chat box modifications with Smartsupp API.", "Pokročilé úpravy chat boxu přes Smartsupp API."
"Customer info", "Zákaznické info"
"Show info about your customers (name, email, spend etc.) in Smartsupp dashboard, where your agents can see it. You will find customer info in the right panel while chatting.", "Zobrazte si info o vašich zákaznících (jméno, email, útrata) ve Smartsupp dashboardu, kde ho uvidí vaši operátoři. Zákaznické info najdete v pravém panelu, když chatujete."
"Customer's ID", "Zákaznícke ID"
"Shows customer's ID.", "Zobrazit identifikátor zákazníka"
"Customer's Name", "Jméno a příjmení"
"Shows customer's display name.", "Zobrazit jméno a příjmení zákazníka."
"Customer's Email", "Email"
"Shows customer's email.", "Zobrazit email zákazníka."
"Customer's Phone", "Telefonní číslo"
"Shows customer's phone.", "Zobrazit telefonní číslo zákazníka."
"Customer's Role", "Rola"
"Shows customer's role.", "Zobrazit roli zákazníka (zákaznickou skupinu)."
"Customer's Orders", "Počet objednávek"
"Shows customer's orders amount.", "Zobrazit počet objednávek vytvořených zákazníkem."
"Customer's Spendings", "Obrat"
"Shows customer's cumulative spendings.", "Zobrazit celkový finanční objem objednávek vytvořených zákazníkem."
